service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
137164,1,1,1,1,1,0,0,20250218,20250829
136471,1,1,1,1,0,0,0,20250218,20250829
136375,1,1,1,1,0,0,0,20250218,20250829
133591,1,1,1,1,1,0,0,20250224,20250829
132551,1,1,1,1,0,0,0,20250224,20250829
131282,1,1,0,1,0,0,0,20250218,20250829
113803,1,1,1,1,1,0,0,20250331,20250829
113014,1,1,1,1,0,0,0,20250331,20250829
37269,0,0,0,0,0,1,0,20250222,20250823
28338,0,0,0,0,0,1,0,20250329,20250823
27737,0,0,0,0,0,0,1,20250223,20250824
23361,1,1,1,1,1,0,0,20250218,20250328
21264,0,0,0,0,0,0,1,20250330,20250824
19788,1,1,1,1,1,0,0,20250224,20250328
15749,1,1,1,1,1,0,0,20250303,20250328
15445,1,1,0,1,1,0,0,20250224,20250328
15056,1,1,1,1,0,0,0,20250303,20250328
14709,1,1,1,1,0,0,0,20250303,20250327
11801,1,1,0,1,1,0,0,20250303,20250328
11108,1,1,0,1,0,0,0,20250303,20250328
8931,0,0,0,0,0,1,0,20250222,20250322
7612,1,1,1,1,1,0,0,20250218,20250228
6473,0,0,0,0,0,0,1,20250223,20250323
6371,1,1,0,1,1,0,0,20250218,20250228
5884,0,0,0,0,0,0,1,20250302,20250323
5667,0,0,0,0,0,1,0,20250301,20250322
5189,0,0,1,0,0,0,0,20250219,20250326
4641,0,0,1,0,0,0,0,20250305,20250326
4343,0,0,1,0,0,0,0,20250226,20250326
4039,1,1,1,1,1,0,0,20250224,20250228
3948,0,0,1,0,0,0,0,20250305,20250326
3644,1,1,0,1,1,0,0,20250224,20250228
3573,0,1,1,1,1,0,0,20250218,20250221
3264,0,0,0,0,0,1,0,20250222,20250301
1241,0,0,1,0,0,0,0,20250219,20250226
1040,0,0,0,0,0,0,0,20250307,20250328
693,0,0,0,0,1,0,0,20250307,20250307
589,0,0,0,0,0,0,1,20250223,20250223
395,0,0,1,0,0,0,0,20250226,20250226
